date,average_vader_sentiment
2022-06-08,0.17504284216046148
2022-06-17,0.13695084800000001
2022-06-29,0.20058996587030717
2022-07-11,0.23594773299748115
2022-07-19,0.16784597989949748
2022-07-27,0.18813945540427898
2022-08-02,0.1680188209331652
2022-08-09,0.1962326708507671
2022-08-19,0.22016802873821287
2022-09-05,0.27429932008368196
2022-09-11,0.27874495929868504
2022-09-23,0.20893424443576727
2022-10-09,0.27676211085801067
2022-10-21,0.252099725058916
2022-10-28,0.11855596054888506
2022-11-07,0.23921757476444083
2022-11-16,0.15765122966326145
2022-11-25,0.2177848896434635
2022-12-03,0.2538568601583114
2022-12-12,0.28674039629274534
2022-12-22,0.44173445358939184
2023-01-10,0.2642524667524668
2023-01-20,0.22391376474794425
2023-01-30,0.2503023668639053
2023-02-04,0.3012675213675214
2023-02-15,0.19286883814640696
2023-02-26,0.3050485969906466
2023-03-01,0.30685256410256406
2023-03-11,0.15066338553318417
2023-03-21,0.1284739487580677
2023-04-06,0.26855022765396597
2023-04-10,0.3689051939058171
2023-04-20,0.3375715633766896
2023-05-07,0.31476314142678347
2023-05-14,0.433156183745583
2023-05-28,0.41855076622106296
